"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
"41",0,20,40,0,0,0,90,0,0,30,10,0,20,0,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,10,10,0,0,0,0,0,0,0,0,10,70,0,0,10,0,0,0,0,0,0,0,0,0,60,10,10,10,0,0,0,0,0,0,0
"42",130,10,1320,10,70,90,370,20,30,130,50,170,440,90,120,70,220,200,0,0,0,40,0,0,0,10,0,0,0,0,0,0,0,10,0,0,40,0,0,0,280,0,430,170,30,0,20,30,60,0,10,0,0,100,4710,0,10,30,70,0,0,0,90,0,10,10,110,1890,390,40,70,0,0,0,0,0,10,230
"43",40,0,90,90,0,0,30,0,30,20,130,50,40,0,70,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,470,0,50,0,0,0,10,0,0,0,0,0,0,300,60,0,0,20,0,0,0,10,0,0,0,0,70,0,10,0,0,0,0,0,0,0,0
"44",20,0,90,0,20,60,50,10,0,0,10,20,80,0,0,10,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,0,0,10,10,460,0,0,0,0,0,0,10,0,0,0,0,0,350,0,20,0,0,0,0,0,0,0,0,0,0,20,70,10,0,0,0,0,0,0,0,0
"45",50,0,40,0,10,10,40,10,50,10,0,70,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,30,120,180,20,230,0,80,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20,0,30,0,0,0,0,0,0,40,130
"46",10,10,180,10,20,40,60,0,0,30,0,0,170,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,140,40,20,80,20,0,40,60,0,0,0,0,0,0,0,10,0,0,0,0,70,0,10,0,0,0,0,0,0,10,20
"47",10,0,170,0,0,0,80,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,50,0,0,30,0,0,40,0,0,0,0,0,0,0,30,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0
"48",40,10,420,10,20,0,260,0,10,40,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,20,0,10,150,10,0,130,80,80,0,0,0,70,30,20,0,0,0,0,10,10,0,0,0,0,10,100,0,10,20,0,0,0,0,0,0
"49",30,0,140,0,30,90,210,0,40,10,0,0,10,0,0,50,0,30,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,60,0,0,30,0,0,100,140,50,60,0,40,120,10,10,0,350,10,40,0,10,0,0,0,0,20,0,0,0,180,50,30,0,50,0,0,0,0,0,100
"50",170,10,0,0,70,30,160,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,60,60,0,70,0,10,10,100,0,20,0,10,0,0,0,20,0,0,0,0,30,60,0,0,0,0,0,0,0,0,20
