"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
"36",1360,160,20,0,0,0,40,20,0,0,20,0,260,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,20,3240,0,380,320,440,60,720,3740,160,20,920,0,40,0,320,380,20,20,0,100,0,20,0,20,0,160,20,100,0,20,40,0,0,20,180
"37",13600,460,840,40,0,60,20,100,80,80,0,0,2120,100,60,20,0,20,20,0,60,60,0,0,0,20,0,0,40,0,0,20,160,120,6940,1300,0,3040,520,60,760,1160,280,560,420,0,120,60,2860,440,140,20,0,80,20,80,0,440,60,820,60,340,0,380,1580,420,40,220,1360
"38",2560,20,20,60,0,0,20,20,80,0,0,20,300,40,60,0,0,0,0,20,20,20,0,0,0,20,20,0,180,0,0,20,0,60,3700,400,1640,0,200,20,460,540,540,80,120,20,40,80,400,200,20,0,20,0,0,20,0,140,0,100,0,0,0,80,80,20,60,0,40
"39",3240,280,220,0,0,20,20,60,140,40,100,0,860,40,0,0,0,40,0,40,60,120,0,0,20,0,0,0,0,0,20,120,220,60,1840,1140,160,500,0,120,4920,3560,1980,220,720,20,880,60,820,300,60,160,40,0,0,20,0,100,0,160,0,100,0,40,220,160,40,40,40
"40",840,80,20,0,0,0,0,0,60,0,0,0,100,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,220,220,80,120,140,0,20,40,0,480,40,20,40,40,0,60,20,140,80,0,80,0,20,0,0,0,0,0,60,0,20,20,20,20,20,0,0,0
"41",2840,180,180,0,0,40,20,40,220,0,0,0,720,180,0,0,0,0,0,0,40,20,0,20,0,40,20,0,20,0,0,220,440,160,2160,880,340,540,4500,660,0,2340,3140,0,340,0,360,20,920,460,20,1220,0,0,0,0,0,60,0,220,0,40,0,0,0,120,40,160,80
"42",2940,140,100,0,0,20,0,40,80,20,0,0,340,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,40,0,100,340,280,2680,2900,160,560,3460,80,3040,0,1000,160,520,40,400,0,480,220,40,180,20,20,0,0,0,140,0,280,0,0,0,0,20,20,0,0,20
"43",900,20,20,0,0,0,0,0,60,0,0,0,260,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,60,260,20,580,400,0,880,2360,20,1720,620,0,0,80,140,120,0,120,200,0,40,0,0,0,20,0,0,0,60,0,60,0,0,40,40,0,20,60
"44",3100,680,460,60,60,80,140,100,100,20,20,0,320,240,0,0,0,20,60,0,340,460,0,0,0,80,0,40,0,0,0,20,200,20,100,200,0,100,60,0,20,0,0,0,0,0,0,180,900,20,400,0,0,60,0,80,0,20,0,100,20,120,0,0,200,20,0,20,220
"45",1840,140,160,0,40,120,320,240,20,0,0,0,260,20,0,0,0,0,0,20,120,100,0,0,0,0,0,0,0,0,0,700,880,860,640,660,220,140,640,60,220,660,40,100,0,1080,2580,160,4480,1380,420,160,20,320,0,40,20,460,60,760,0,140,20,20,60,180,20,420,40
"46",1220,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,20,0,0,0,40,40,0,0,60,0,80,80,0,80,40,40,20,20,120,0,0,40,0,20,3080,0,4600,0,4620,240,3380,660,0,180,20,60,0,80,0,380,20,0,20,0,0,60,0,20,100
"47",260,40,0,0,0,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,100,0,40,0,0,0,0,0,40,0,0,1900,980,0,0,1500,140,260,200,0,0,0,0,0,20,0,160,0,0,0,0,0,0,20,0,0
"48",2300,180,420,220,40,120,2020,2280,40,0,0,60,200,40,0,60,80,160,20,60,100,40,80,60,160,1080,60,0,0,0,0,160,40,20,80,0,100,40,0,0,160,20,0,100,20,260,0,0,1440,140,360,20,140,140,20,0,260,40,40,140,20,80,0,0,0,20,0,0,20
"49",9220,3600,1960,340,380,720,4420,1260,200,80,100,180,800,140,0,160,160,140,160,240,580,300,20,300,100,260,20,0,20,20,0,240,700,320,860,480,1880,460,360,20,540,340,120,740,2420,1780,1440,2640,0,520,2020,280,660,1560,60,60,200,1260,140,2140,20,420,20,320,300,540,240,760,680
"50",1960,100,100,0,0,20,160,0,20,20,0,0,100,20,0,0,0,0,0,0,140,0,0,0,0,20,0,0,0,0,0,960,100,140,360,80,140,100,500,0,100,60,0,100,940,60,240,40,1120,0,100,20,180,180,260,260,20,620,60,6420,0,320,0,20,200,560,100,600,100
"51",960,220,120,0,0,0,60,100,20,0,0,0,80,20,0,20,0,0,0,0,100,0,20,0,0,20,80,0,0,0,0,140,0,80,0,120,140,100,0,0,80,120,0,280,160,1180,340,160,2260,60,0,280,20,100,0,0,20,240,0,200,0,20,0,80,40,100,0,0,0
"52",300,20,40,0,0,0,60,0,20,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,60,280,100,40,40,60,0,40,60,60,120,0,40,140,1440,1060,0,1340,140,780,0,0,20,60,40,20,120,40,200,60,60,0,100,20,140,80,20,20
"53",760,60,100,0,40,40,140,240,0,0,0,0,60,0,40,0,0,40,0,0,20,0,0,20,80,20,0,0,0,20,0,20,20,0,20,100,120,60,20,0,40,120,0,100,220,40,40,220,2640,120,80,140,0,1880,160,740,440,220,0,760,320,40,80,20,20,100,40,40,120
"54",460,20,120,0,20,40,20,80,40,0,0,0,0,0,20,20,0,0,0,0,60,0,100,0,0,0,0,0,0,0,0,0,20,20,80,40,0,20,20,0,0,120,0,20,80,20,80,0,1980,120,0,0,540,0,0,80,80,220,60,840,20,0,0,0,0,0,80,0,60
"55",400,60,20,0,0,20,20,0,120,0,0,0,20,0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,20,20,0,0,20,20,0,60,100,0,40,0,180,160,0,0,160,60,0,300,0,2540,40,1880,160,20,0,0,0,20,60,0,40
