"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"43",22,24,174,56,5,35,157,3447,24,26,92,531,39,85,35,11,167,77,18,36,46,56,81,18,317,27,11,247,95,112,42,5,51,1,107,21,22,61,33,7,105,5,0,51,14,217,18,32,7,200,10,11
"44",4,13,49,10,0,10,26,200,0,6,7,216,7,4,3,11,8,8,10,6,6,41,8,9,13,7,0,63,24,34,31,1,4,5,5,1,6,6,3,0,17,6,69,0,5,368,5,4,0,580,2,1
"45",16,78,261,73,109,82,91,181,29,136,47,47,365,46,27,89,22,48,83,23,29,14,75,21,20,24,11,4113,69,175,34,9,56,14,70,34,45,64,34,31,70,7,36,5,0,166,29,24,14,44,12,12
"46",40,657,2123,131,9,55,1172,1240,45,55,165,1464,194,127,79,496,120,111,77,63,67,83,181,55,92,53,24,1502,172,570,119,36,85,19,281,69,24,203,66,33,200,21,286,364,123,0,63,97,15,240,33,43
"47",58,14,304,21,68,20,194,236,204,34,41,54,29,15,71,3,34,22,34,86,10,7,13,281,16,32,18,936,95,60,50,19,125,277,150,71,137,131,145,111,60,47,36,1,32,83,0,122,220,60,8,20
"48",797,36,577,46,13,92,224,350,698,137,103,67,55,24,247,4,41,57,27,910,54,20,41,147,14,463,134,1036,239,83,387,168,163,135,200,69,112,155,2422,20,89,33,61,8,32,170,159,0,125,126,5,1
"49",32,0,69,4,18,17,57,97,55,12,27,25,3,5,27,2,25,3,7,50,3,8,0,142,17,29,9,557,19,15,23,38,101,37,58,46,184,45,49,24,9,10,17,1,21,37,327,107,0,24,2,3
"50",44,18,214,35,11,30,252,804,67,27,71,230,41,51,51,14,61,47,72,116,22,743,32,47,131,187,11,950,116,95,502,6,59,23,129,43,29,122,63,11,75,135,386,512,28,385,71,115,4,0,17,16
"51",7,4,42,28,3,17,38,89,20,17,546,21,8,49,16,5,11,107,5,6,15,15,26,8,12,3,0,166,349,38,16,3,8,2,56,4,7,32,10,2,157,0,27,2,17,41,11,7,3,31,0,34
"52",1,3,49,190,5,15,42,168,9,9,71,29,13,28,17,0,56,131,8,8,14,12,20,12,15,4,8,195,381,52,7,6,11,1,181,10,3,56,22,4,99,3,20,0,19,59,14,10,3,36,54,0
