"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"33",124,36,29,9,28,27,52,60,4,8,15,9,18,7,2,45,5,26,26,6,9,3,0,9,4,56,42,79,153,103,1207,29592,0,793,1215,230,362,566,402,1365,544,106,197,563,23545,3429,352,95,1394,580,88,38,23,43,18,11,15,34,80,24,31,0,6
"34",500,87,51,17,47,5,7,15,0,0,5,10,1,0,5,0,23,12,13,20,11,5,1,60,22,277,79,150,185,48,575,3011,636,0,981,1614,1141,1538,5241,2267,596,311,504,1358,38023,7418,187,309,3939,1114,108,60,20,84,32,84,37,20,86,36,102,55,7
"35",264,57,33,32,0,0,50,31,0,6,3,9,7,3,2,55,22,22,11,5,1,1,0,8,3,143,82,44,37,46,491,4018,1450,887,0,281,837,971,1006,1083,760,112,499,1824,37947,4340,763,126,2220,1848,263,81,96,298,78,233,46,26,201,74,149,31,42
"36",168,12,11,0,11,10,22,29,0,0,2,0,0,0,8,10,14,5,0,0,15,4,3,20,9,4,90,42,39,15,285,616,108,934,120,0,3143,129,592,1172,185,220,276,613,12436,4860,96,83,2656,401,119,11,44,22,29,52,6,15,42,0,23,6,0
"37",486,106,121,76,40,24,83,75,0,0,10,6,7,10,0,14,24,11,68,93,27,6,5,0,14,124,132,153,88,42,258,607,85,760,135,1035,0,91,283,1154,246,590,404,645,15006,2233,129,25,2954,648,103,39,42,102,93,48,29,24,70,35,62,14,92
"38",175,32,43,56,44,14,38,11,0,2,9,2,5,52,1,29,24,14,0,0,3,6,0,10,58,134,92,85,94,41,198,807,160,454,114,36,60,0,959,307,65,6,16,222,2051,480,40,17,161,44,20,15,0,0,0,0,0,0,0,0,4,0,13
"39",654,70,276,102,65,40,202,208,18,3,29,40,25,19,13,138,90,71,55,29,61,11,5,228,149,151,345,386,129,143,326,1985,552,2506,507,463,506,1500,0,1842,327,76,67,537,8269,2079,166,59,1328,125,7,31,33,15,13,24,8,3,107,19,30,6,0
"40",942,198,401,157,436,57,340,124,13,72,307,66,0,57,65,214,74,52,141,198,91,22,26,24,32,436,776,837,256,223,738,3413,1506,1298,316,850,1826,1302,7246,0,6205,97,235,1457,19071,6852,813,87,4004,585,348,30,28,21,52,43,26,18,100,18,48,22,12
"41",245,31,28,49,49,0,133,45,0,31,57,30,0,11,28,51,100,70,0,4,13,0,13,17,17,84,140,76,20,34,46,142,98,238,145,27,168,313,553,2407,0,17,141,809,2745,1454,324,52,868,277,14,0,45,4,10,17,6,0,0,0,0,5,24
"42",81,3,16,11,24,4,8,19,7,0,0,2,0,0,0,0,7,0,13,35,0,0,0,0,11,58,99,39,21,14,50,75,22,191,56,154,946,47,74,419,77,0,696,1788,11740,1790,123,122,3081,243,115,46,8,71,19,43,29,7,33,6,4,6,0
"43",64,18,20,4,79,20,93,61,0,0,5,3,0,4,0,33,17,0,69,19,5,0,0,6,8,91,86,115,125,141,82,141,121,242,226,64,549,160,274,543,379,580,0,1053,24688,3903,280,90,4056,1109,237,53,30,180,80,50,99,13,172,22,37,4,30
"44",1190,160,320,78,76,36,368,213,3,10,89,16,19,15,26,211,123,48,76,81,74,28,0,18,79,327,315,172,83,118,260,343,88,373,257,107,615,422,968,878,3500,339,734,0,21726,3180,1105,75,4124,627,139,40,15,159,106,70,53,21,109,34,24,5,3
"45",5034,851,925,379,666,269,860,710,26,102,92,29,21,71,11,379,223,243,287,1338,144,90,33,9,150,1495,1680,1282,872,549,2630,2404,2442,1855,1357,512,1614,544,870,2205,892,721,1449,3648,0,32535,3098,3006,21782,4643,8992,1736,1789,5541,3904,1554,1328,643,2211,895,604,386,297
"46",360,120,349,59,455,25,58,348,5,104,38,40,6,89,5,75,252,58,93,261,44,4,15,8,132,1240,572,574,183,152,189,49,65,146,61,40,122,250,384,551,307,49,380,269,15347,0,2014,745,5110,485,476,163,287,320,401,123,266,121,131,55,53,4,43
