"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
"47",8287,3410,615,2394,899,99,1115,0,923,1015,2805,1806,297,0,101,0,0,406,101,301,3018,201,211,215,0,0,0,0,533,0,427,0,604,201,0,107,0,2193,0,507,2122,0,0,0,0,102,0,3876,3346,821,203,1244,511,305,492,198,194,1205,693,0,0,0,0,103,0,671,0,0,103,98,98,0,0,0,0,0
"48",655,920,712,1013,196,99,295,0,0,0,202,409,293,0,392,97,0,0,101,0,0,0,0,0,422,0,0,0,401,202,0,0,0,101,0,0,201,200,0,0,0,0,0,105,0,0,1337,0,0,0,102,100,102,0,0,0,101,0,205,0,0,0,0,103,0,0,415,0,0,0,0,0,0,0,0,0
"49",8678,1009,998,4598,1673,0,918,392,614,103,1733,205,295,0,397,0,0,787,100,0,301,0,0,0,101,201,0,100,0,0,0,0,101,0,0,100,0,1847,0,1045,0,0,102,0,0,0,1932,200,0,812,403,1825,604,102,97,97,395,99,506,0,0,0,831,0,0,0,0,0,312,1415,0,0,0,0,0,0
"50",2661,103,206,203,1088,0,0,194,0,0,394,0,0,295,0,304,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,2879,0,312,100,105,0,0,100,0,0,200,719,0,200,415,0,102,0,0,0,0,99,0,0,0,893,0,0,391,0,103,0,0,0,0,0,0,0,0
"51",3757,1017,409,1534,995,0,0,0,0,409,506,507,0,0,393,308,0,0,106,201,0,401,0,0,101,0,0,0,503,0,0,0,211,0,101,0,0,1032,602,0,100,407,105,100,305,0,507,0,808,417,0,1027,200,1366,99,299,0,97,681,0,0,614,0,189,0,0,0,103,0,0,0,0,0,0,0,0
"52",6844,1812,619,1020,4232,0,2038,0,0,704,2118,101,299,0,0,0,0,0,402,0,0,0,101,107,0,0,0,301,0,806,201,0,0,0,0,0,0,1753,0,0,2783,0,102,0,102,102,623,0,305,1538,210,0,2756,1322,1175,0,0,1325,4650,194,295,0,206,0,91,0,0,0,0,0,0,0,0,0,0,0
"53",7049,1598,1807,2563,1995,0,0,0,0,0,1221,412,405,0,0,615,194,194,403,0,101,401,211,202,0,0,0,101,101,0,0,0,429,0,0,0,0,100,100,0,102,0,0,0,0,105,619,0,417,630,0,2389,0,0,97,97,0,101,495,0,0,405,0,0,91,98,0,0,0,488,0,0,0,0,0,0
"54",11362,898,511,1299,1514,194,993,198,194,393,1708,511,791,0,405,103,0,205,503,0,101,0,904,0,302,0,215,604,0,704,0,0,101,101,211,101,106,105,102,300,807,303,203,203,203,0,1530,203,407,403,403,1443,1120,0,491,198,395,396,2892,0,0,619,209,0,0,506,625,0,0,0,0,0,0,0,0,0
"55",7873,504,890,302,701,0,0,0,0,198,809,610,203,0,0,206,0,0,100,604,101,106,0,0,316,0,0,101,0,0,101,0,202,0,0,0,0,823,0,0,0,100,0,0,102,0,202,0,100,630,0,0,0,0,0,1003,0,1607,2364,99,2660,1100,0,0,0,1237,208,0,0,98,0,189,91,0,0,0
"56",5339,403,1520,99,491,97,101,0,206,206,0,303,0,0,200,0,0,99,100,100,0,0,0,0,100,0,0,208,320,0,0,0,201,0,504,0,0,630,0,0,102,0,100,0,0,0,105,100,0,0,0,0,0,0,3539,0,1288,4562,1316,0,99,0,0,105,0,0,0,0,103,0,0,0,0,0,0,0
"57",8082,902,2522,1300,2288,0,196,203,898,0,304,295,506,0,392,588,0,0,1007,303,100,201,202,0,0,0,0,0,0,0,0,0,101,0,0,0,0,912,0,202,0,0,105,0,100,0,1009,1632,0,0,102,0,203,0,785,5116,0,2117,1087,0,99,0,209,307,0,0,413,103,91,561,0,0,0,0,0,0
"58",8992,1590,903,822,0,0,392,0,0,0,5430,302,984,99,99,501,0,0,402,201,0,0,0,0,0,0,0,100,805,0,0,202,637,201,0,215,403,315,0,0,0,0,0,0,0,0,105,102,0,0,0,0,0,0,2955,1667,0,0,4672,0,0,715,0,183,0,98,206,0,0,98,0,0,312,0,0,0
"59",5220,590,612,388,99,0,0,0,0,99,512,698,305,0,0,0,0,198,100,0,0,0,302,0,301,0,0,0,0,201,402,213,0,0,0,0,100,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,1179,97,511,2089,0,0,0,492,0,0,208,0,195,0,103,0,0,0,0,0,0,0
"60",2083,409,0,995,0,0,0,0,0,0,0,205,0,0,0,0,0,0,201,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,105,100,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,692,194,295,818,198,0,0,194,0,0,0,91,0,0,0,0,0,0,0,0,0,0
"61",4587,508,2988,306,198,0,0,0,0,0,194,103,0,0,0,0,0,0,100,0,0,0,101,0,0,0,0,0,215,0,0,101,0,0,0,0,0,0,0,202,403,0,0,0,100,0,0,0,0,0,0,210,0,0,0,101,297,0,798,0,0,1493,0,105,896,105,861,0,91,0,0,0,0,0,0,0
"62",2287,601,409,512,296,0,0,0,0,0,101,411,0,0,296,203,0,0,0,0,0,0,0,0,101,0,0,0,0,202,100,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,420,0,603,0,0,705,2037,101,1580,0,0,0,314,0,0,0,1662,209,0,0,195,0,0,0
"63",21851,1008,1834,0,788,0,0,0,0,198,396,296,0,0,390,0,99,0,1230,202,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,210,203,0,200,403,0,100,0,100,210,0,200,0,100,0,0,210,0,0,0,799,103,0,0,0,0,6664,2703,4309,6665,726,2698,4769,487,2733,2378,1870,1427,91
"64",1796,0,0,0,203,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,100,0,0,0,0,0,0,0,0,392,206,0,709,1505,623,0,91,574,202,1453,684,0,195,0
"65",1704,97,103,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,210,0,0,0,0,0,0,0,0,0,0,209,1217,0,1771,206,103,312,677,98,208,415,418,0,0
"66",2048,0,97,103,0,103,0,0,612,0,198,306,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,102,0,0,0,0,97,0,0,0,0,0,300,103,105,1233,0,913,312,0,1427,0,0,183,0,0,0
"67",7514,301,1186,918,0,0,0,0,0,295,203,0,0,0,981,0,0,0,211,0,0,0,0,0,0,0,0,215,0,0,202,404,107,0,201,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,203,0,205,203,0,0,296,2344,3732,1303,487,0,901,2583,1184,208,105,377,0,372,0
"68",1341,399,583,101,0,0,0,0,0,99,103,0,0,0,0,0,0,0,0,0,0,0,0,101,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,384,2328,684,401,0,926,0,0,0,196,0,91,0
"69",4002,799,507,206,97,0,0,0,99,0,1416,101,0,0,0,198,0,0,604,0,0,0,0,0,0,0,0,0,526,0,0,0,100,0,0,0,0,105,0,0,0,105,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,818,0,0,899,520,91,521,567,2836,1667,0,372,0,1317,0,206,0,0
"70",11132,203,609,612,194,0,0,0,0,0,409,0,0,0,0,97,0,0,640,0,0,101,1063,0,0,101,0,107,215,0,0,211,0,211,0,0,0,512,0,0,0,420,0,105,105,0,105,105,0,0,0,0,0,102,206,408,0,0,0,0,103,291,3088,610,299,1129,1312,0,410,0,1674,1263,4857,818,2565,495
"71",1321,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,101,0,0,426,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,103,0,298,0,0,0,1861,0,310,274,0,715,195
"72",5227,103,408,0,0,0,0,0,0,0,593,0,0,0,0,0,0,101,100,0,0,1208,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,315,0,0,0,0,105,0,0,0,415,0,0,0,0,0,0,0,0,103,0,0,0,0,0,489,1105,2174,721,1972,832,208,195,1733,561,0,10632,0,209,206
"73",7771,915,512,0,0,0,97,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,604,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,401,208,950,366,105,103,5580,704,1351,0,573,1213,312
"74",1136,0,299,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,206,0,0,0,0,103,1663,0,0,0,0,4299,2582
"75",1336,0,103,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,304,0,476,0,0,209,105,520,2030,91,520,183,2588,0,1923
"76",1545,0,101,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,0,98,0,0,0,482,1972,189,206,189,619,1100,0
